ID,question,answers
IA0011,pressing-q,"It is unclear if fungi can be leveraged to improve post-fire regeneration with respect to watersheds in particular in improving soil hydrophobicity deBano et a 1998, increasing soil aggregation Rillig and Mummey New Phytologist 2006, and detoxifying toxic compounds and PAHs released by fire Guo et al SBB 2017."
IA0012,pressing-q,How do wildfires impact terrestrial to aquatic carbon fluxes and alter terrestrial net ecosystem carbon balances? What are the short and long term impacts? Can we better link remote sensing data with ecosystem response post fire to allow better predictive modeling of fire impacts on biogeochemical cycles at large scales?
IA0013,pressing-q," How do wildfires impact within stream nitrogen retention and bioavailability, and what potential long-term impacts could this have on downstream nitrogen cycling, aquatic ecological processes, and water quality? How has the loss or shift away from indigenous traditional fire practices potentially shaped the impacts of wildfires on watershed biogeochemical cycling observed today? "
IA0014,pressing-q,"Addressing regional variation in biogeochemical responses would reveal underlying causes and synergisms of wildfire impacts to biogeochemical cycling. For example, high gradient, fire-excluded, coniferous streams with snow melt, perhaps the most destructive combination, would be expected to produce a very different response than low gradient, deciduous streams with a summer rainy season. Teasing apart these landscape scale and continental scale drivers, perhaps, could help promote basic principles see Gounand  2020; Global Ecology and Biogeography for an example. To what extent are biota important to biogeochemical cycling, and how that importance or unimportance is mediated by wildfire, I think, warrants greater study. We know some, for example, severe wildfire increases flux from aquatic to terrestrial ecosystems Malison and Baxter 2010; Canadian Journal of Fisheries and Aquatic Sciences."
IA0015,pressing-q,"The impact of wildfire on P fluxes and chemical transformations has been largely overlooked compared to C and N. However, we know that P export from terrestrial to aquatic environments can persist multiple years post wildfire Hauer and Spencer, 1998. Additionally, if these flux if composed of bioavailable species it can impact aquatic ecology Emelko et al, 2016. Therefore, first we need a better understanding of if/how this flux of P impacts ecosystem structure and/or function, especially since it may be a primary or co-limiting nutrient. Secondly, we need to identify what chemical species are moving through these environmental fluxes using a variety of techniques such as fractionation schemes, NMR, XANES, etc. Emelko  2016 used a fractionation scheme to identify speciation, but more advanced techniques such as NMR, XAS, etc. are rarely used in wildfire research even though they are increasingly being used in soil science and other fields. "
IA0016,pressing-q,"A growing number of studies have illustrated that soil hydraulic properties  infiltration capacity, hydraulic conductivity and runoff generation mechanisms may be altered by wildfire Ebel and Moody, 2017; Ebel  2016, leading to increased annual water yields, low flows, and peak flows for several post-fire years Blount  2020; Hallema  2017a; Saxe  2018 or even decades Brookhouse  2013; Kuczera, 1987; Niemeyer  2020. Changes in the flow-paths or residence time of water in the catchment, as well as the hydrologic regime, are likely to exert first-order controls on biogeochemical cycling in watersheds. However, it remains uncertain how various wildfire characteristics, catchment characteristics, post-fire precipitation, and runoff pathways interact to impact the retention and/or export of chemical elements. Vertical and lateral exchanges of water along the river corridor fundamentally determine downstream biogeochemistry and, therefore, aquatic ecosystem health and source water supply Jones and Mulholland, 2000; Battin  2008; Fleckenstein  2010; Boano  2014. Wildfires have the potential to influence the bioavailability and reactivity of chemical elements during the combustion process Hockaday  2007; Doerr  2018; Santin  2018. However, the long-term fate and bioavailability of pyrogenically altered elements as they are transported from burned headwaters to downstream rivers remains highly uncertain, which hampers our ability to develop predictive models."
IA0017,pressing-q," How do in-stream fluxes of carbon, nutrients, and particulates evolve from first post-fire hydrologic event to the end of the fire disturbance window? How do immediate post-fire fluxes compare to pre-fire fluxes? Wildfires alter the lateral transfer and in-stream export of material from burned catchments by enhancing overland flow, erosion, and mobilization of carbon and nutrients to the stream channel Abney  2019; Rhoades  2019; Santos  2019. It also remains unclear how watershed conditions pre-fire may provide a blueprint for the hydrologic response, recovery, and associated material export, post-fire.What are the best analytical approaches for quantifying pyrogenic carbon? Can a multiproxy approach expand the analytical window for detecting wildfire in-stream and in the sedimentary record? Wildfires produce charcoal and other thermally altered residues that vary size, mobility, and reactivity, thereby creating multiple pyrogenic signals in-stream and upon delivery and accumulation in sediments Masiello, 2004. Multiproxy studies have also been cited as a necessary step to improve our understanding of how sedimentary charcoal records relate to wildfire history Marlon  2016.
"
IA0018,pressing-q,"What are the cascading impacts of multiple fire events  decreasing the fire return intervals on carbon and nutrient cycling on ecosystem and decadal scales? How bioavailable is pyrogenic organic matter, and does that matter  on ecosystem scales,  across traditional ecosystem boundaries, and 3 for net C, N, P budgets?  "
IA0019,pressing-q,"How is production, transport and deposition of pyrogenic organic matter changing snow and ice melt in watersheds? And what does this mean for water quality and quantity in those watersheds."
IA0020,pressing-q,"How is the biogeochemical cycling in lake ecosystems impacted by wildfire in the short and long term? Post-fire impacts on lakes and reservoirs are extremely understudied compared to river systems and research is mostly limited to boreal lakes McCullough  2019. More persistent BGC impacts on lakes, rather than streams, following the accumulation of ash and charred material may be expected, with long-term implications for beneficial uses and water supplies. How do the physical properties  density, size, porosity of wildfire-derived ash influence HBGC processes in aquatic systems? While the physical behavior of ash on the landscape and the chemical leaching potential  of nutrients of ash have been well studied Bodi  2014, important questions surrounding ash-particle or ash-colloid physical and physicochemical properties, fate, and behavior in aquatic environments remain  adsorptive capacity, sedimentation."
IA0021,pressing-q, What are the impacts of fire on carbon and nutrient balance across various temporal scales ?  How the burning regimes and environmental drivers influence post fire ecosystem recovery
IA0022,pressing-q,How does biogeochemical cycling best inform downstream ecocsystem and drinking water treatability impacts of severe wildfire? How do wildfire impacts on biogeochemical cycling compare across different ecozones?
IA0023,pressing-q,What are the effects of wildfire on the form and mobility of sediment associated phosphorus P across the watershed continuum? What are the key drivers of sediment associated P transport over a range of spatial and temporal scales in a diverse range of forested regions? What is the role of gravel bed rivers in the storage of cohesive sediment and associated nutrients? 
IA0024,pressing-q,"In my opinion, the most pressing need is to understand the effects of fire-regime change on watersheds. Most of our knowledge pertains to the hydrologic response of individual fire events. Consequently, we can often make an educated prediction of how a watershed may respond given a fire. However, we have much less ability to predict how watershed hydrology will change in the future, as most such studies only incorporate climate change. Yet we know that climate change doesn’t just affect hydrologic processes such as snowmelt, but also vegetation productivity/transpiration, as well as vegetation fire regimes. Within the ecology community, there has been some work to understand how fire regimes are likely to change with a changing climate  McKenzie and Littell 2017, but the implications of these types of changes on hydrology is a relatively untouched area. Wine  2018 had an interesting empirical study that showed that across the Western U.S., the long-term effects of wildfire on annual streamflow ranged from 2% to 14% across ecoregions. This estimate represents a significant amount of streamflow for water-limited regions. However, it is unclear how these values may change as wildfire regimes are altered with climate change, as there are likely scenarios where streamflow both increases and decreases depending on the region. In addition, there is the potential that streamflow effects may vary depending on the timescale analyzed, as climate change can have different short and long-term effects on fire Kennedy  Accepted-Ecosphere. Higher temperatures associated with climate change can increase fuel aridity in already-established vegetation, increasing the potential for burning in the short-term. But higher temperatures can also decrease vegetation productivity in areas that are water-limited, increasing the time interval between fires and decreasing fire in the long-term. We need to better understand how change in fire regimes such as these will affect and be affected by watershed hydrology. Another pressing need is to identify baseline/historical hydrologic conditions in watersheds where present-day vegetation and fire regimes are substantially different from what they were over a century ago prior to active fire suppression/management. An example of this is the southern Sierra Nevada, which is overstocked due to fire suppression and where we are attempting to assess what the effects of forest restoration and the reintroduction of a natural fire regime may have on streamflow and water supplies. Although there is often interest in evaluating changes in hydrology relative to current conditions, I would argue that the most appropriate comparison is with the ‘quasi-equilibrium’, low-severity fire, baseline conditions even if it unrealistic that they will ever again be achieved due to climate change, changes in management practices, etc. Perhaps more importantly, understanding hydrologic functioning under baseline conditions may provide a better indicator of biogeochemistry and sediment production in a watershed, compared to fire suppressed watershed. Experiments that attempt to reestablish a natural hydrologic regime, such as in the Illilouette Creek Basin in Yosemite National Park, can provide much needed knowledge of how the restoration of fire regimes may impact hydrology Boisrame  2017."
IA0025,pressing-q,"How does the sediment transport cascade evolve after wildfire? Particle and particle associated transport is a major pathway for the redistribution and efflux of particulate and hydrophobic compounds after fire Rhoades  2019. Changes in source, transport lengths, and storage times  the sediment cascade plays a dominant role in controlling the redistribution of these compounds after fire, and likely the biogeochemical cycling of high gradient watersheds with intensive fire regimes. How does hydrologic connectivity evolve after wildfire? The reactive transport pathways of both dissolved and particulate materials through watersheds can be dramatically altered by wildfire impacts on interception, infiltration, surface roughness, and evapotranspiration Ebel  20 Resultant increased rainfall partitioning to runoff after fire can dramatically decrease surface to subsurface hydrologic connectivity, while dramatically increasing surface connectivity between the hillslope and channel, with large potential impacts on biogeochemical cycling across a broad range of temporal scales."
IA0026,pressing-q," How are post-fire effects on soils affecting microbial processes and the production of trace and greenhouse gases that affect regional air quality and Earth's climate? Wildfires can affect soils by raising pH and changing the availability of nutrients. This can impact how microbes process N and the emissions they produce including nitric oxide NO; precursor for tropospheric ozone formation and nitrous oxide N2O; powerful greenhouse gas. For instance, changes in pH can alter the balance of ammonia oxidizing bacteria to archaea, potentially affecting the rate at which N is emitted from soils and the gases that are released. How are post-effects on soils affecting microbial community structure and long-term fate of soil C? Pyrophilous microbes may process C with different efficiencies and may be able to process pyrognic organic matter PyOM. How microbes metabolize C and whether they can break down PyOM has important consequences for C sequestration in soils and to determine the fate of soil C."
IA0027,pressing-q,"How quickly do pyrogenic organic matter fractions cycle and degrade in fire affected watersheds? Pyrogenic carbon is not fully inert and stable in the environment. Depending on fire- and watershed conditions waterchemistry, microbial composition and activity, light pyrogenic organic matter fractions are transformed at differing rates with implications for global carbon cycling. What effects do pyrogenic organic matter bound persistent free radicals have on watershed functioning. We have recently measured high concentrations of environmentally persistent free radicals in wildfire charcoal that are able to form reactive oxygen species when in contact with water. The implications of this process to ecosystem functioning and carbon cycling in river systems remain elusive. "
IA0028,pressing-q,"What are the long-term consequences of repeated fires for watershed processes? In regions with short intervals between fires, such as the Mediterranean, they can lead to significant soil degradation, limiting the capacity to support vegetation and enhancing vulnerability to further fires. This can mean that, in the long-term, fire episodes can dominate soil erosion and the mobilization and transport of sediment, carbon and nutrients; and that these fire-prone forests and natural areas might not provide the hydrological ecosystem services expected by forest managers and land-use planners, such as soil protection and water quality regulation Nunes  2018. How do fire and watershed characteristics determine post-fire impacts? At smaller scales, the interaction between fire and topographic characteristics – in the way they impact hydrological and sediment connectivity – can be linked with the location of hotspots for erosion and contaminant mobilization; therefore, a small but well-connected fire might have greater impacts for sediment transport than a large fire in a poorly connected watershed. Understanding and mapping these connectivity patterns might help the development of more efficient ways to implement post-fire emergency erosion control measures Wu  2020.
"
IA0029,pressing-q,What are the roles of fire-derived dissolved organic carbon DOC and particulate organic carbon POC on dissolved oxygen and other redox sensitive solutes? What are fire temperature and vegetation type effects on the chemistry of ash and solutes transported to stream networks post-fire?
IA0030,pressing-q,How to control the effects of wildfire on drinking water quality? How to build new tracers to understand the effects of wildfire on watersheds?
IA0031,pressing-q,"Compounding interaction of fire flowed by flood events - I have observed these several times and the impacts are underestimated on ecology, amenity, infrastructure roads, bridges, hydro and ecological services clean water"
IA0032,pressing-q,"What are the mechanisms of PyC interacting with organic matter, and how do they change over time, eventually affecting erosion rates."
IA0033,pressing-q,"How within-watershed effects  effects that might be seen at the pore-water scale do or do not propogate to the watershed outlet. Are there within-watershed processes that dampen effects? Are these more or less pronounced depending on landscape characteristics? Two citations for this one for comparison with one-another, one pore water, one outlet study from the same catchment: How do landscape characteristics affect whether we will see wildfire impacts at the stream outlet scale? I don't have a citation for this one sorry!, just note that various studies range from showing strong, to negligible effects from wildfire. Presumably some of this can be attributed to study design and/or wildfire severity, etc., but some of this variation seems likely to be explained by landscape characteristics. What characteristics are important towards this end?"
IA0034,pressing-q,"Are patterns demonstrated in case studies repeatable? Often, fire studies have little to no true replication  in many cases studies are pseudo-replicated. The fire and fire surrogate study was a well-designed, replicated experiment that gave us many insights into the impacts of prescribed fire and thinning Boerner  2009, yet it is unclear how these patterns extend to higher severity fires. How are changing wildfire regimes impacting the resilience of ecosystems to wildfire? Contemporary fires are larger, more severe, and more frequent than their historical counterparts. It is likely that this decreases the resilience of soil biogeochemistry Dove  2020. However, direct comparisons across ecosystems have yet to be made."
IA0035,pressing-q,"How can traditional knowledge and Indigenous fire management be used collaboratively with Western systems of knowledge to strengthen trust and communications between scientist, community members, and tribal partners? How can the integration of these knowledge systems inform effective wildfire management? How do community members communicate about wildfire risk among themselves vs. from experts to residents? What are the motivations, and modes of communication for wildfire preparedness among community members?"
IA0036,pressing-q,From my point of view we need to clarify postfire management effects on soil water and plants dynamics at watershed level and long-term. Modeling is also important for future guidelines and also for transfer all research to managers and society.
IA0037,pressing-q,"What are the processes that influence downstream delivery of post fire sediment, ash and char? Research is well advanced in upland erosion following wildfire. However, it is not clear how sediment, ash and char that are detached on burned hill slopes are routed through the stream system. Recent modeling has suggested that in higher order streams downstream from fires, there tends to be net deposition of sediment following a wildfire. In an undisturbed watershed, however, there is little sediment delivered to the streams but channel and bank erosion tend to be sources of sediment. Is this sediment from a fire that had occurred in the past decades, or is it from other sources? How long does it take a channel to flush through post fire sediment? The same questions apply to inorganic ash and organic char that is delivered to the channel immediately post fire. How much is deposited and later re entrained into the stream, and how much is delivered with the same event that washed it from the hill? The second question: What are the factors that combine to cause debris flows after a wildfire? In some landscapes, sediment from debris flows exceeds sediment from upland erosion. The USGS has some regression equations to estimate the likelihood of debris flows occurring, and the volume of debris flows on a landscape scale. However, their models are not able to identify where on the landscape the debris flows are likely to occur. There is a better need to understand the hydrology associated with debris flows, Geologic or soil properties that are more likely to be associated with debris flows, and the role of topography on debris flows. Also, what sort of upland conditions are likely to generate downslope debris flows? I have witnessed debris flows aggravated by wildfire landscapes as well as upland cropland watersheds, suggesting that this area is ripe for research leading to better understanding the conditions that are likely to result in debris flows. As debris flows can be deadly, there is a societal need to better understand these events."
IA0038,pressing-q,Net impact of wildfires on carbon fluxes labile vs. recalcitrant. Impact of wildfires on soil quality soil as a provider of ecosystemic services.
IA0039,pressing-q,"In what ways can wildfire directly through changes in C, N, P, trace element availability/soil hydrophobicity, etc. and indirectly cascading effects of chemical and physical changes from things like vegetation losses/changes, soil properties alter water quantity and quality in watersheds? How do these changes propagate in systems with varying biophysical/burn characteristics? Are there any universal controls on these changes common to all fire disturbances? Which factors are universal, and which are watershed or biogeographic-dependent? What are the different biogeochemical dimensions of watershed response, recovery, and legacy  how long do the effects of wildfire persist on watershed biogeochemistry, ecology, and hydrology, and how do different biogeochemical components show spatial and temporal connectivity from the hillslope to regional scale? Do changes/exports of some biogeochemical components lag with time, while others are more immediate ex., dPyC versus DIN exports, and how do these exports impact downstream ecosystems?"
IA0040,pressing-q," What are the relationships between wildfire regimes and the evolution and health of aquatic ecosystems across the world? Only a limited number of studies have closely looked at these relationships over limited extents  Gresswell 1999 and we don't know what they are in many places of the world that are prone to burning. Given the role of healthy aquatic ecosystems for water security, addressing this question will allow for the creation of baselines to further monitor how water security might suffer from excessive fire activity. What is the risk to human and aquatic ecosystem health posed by WUI-fires leachates? WUIs are a preferential area for wildfire disasters to happen, and the combustion of man-made material, such as plastic, can compromise community water supply  Proctor  2020. But how and to what extent in time and space these combustion by-products list to be established can run off and pose water security issues is unknown at the moment. As WUI fires will likely increase, it is essential that we get an idea of the toxicants that reach downstream communities and ecosystems."
IA0041,pressing-q,how to predict the type of landscapes vulnerable to fire impacts and in specific how vulnerable landscapes or places in the landscape are to different types of fire - we need to know this information so that landscape managers can know which places in the landscape to protect - either through strategic fuel management or by paying particular attention to these places when fires do occur
IA0042,pressing-q,Separating the direct effects of fire from the indirect effects of fire on soil properties and microbial composition and function incorporating variation in soil responses at surface and sub-surface to fire behaviour and fire severity
IA0043,pressing-q,"I am interested in the extent that watershed characteristics have a resilience capacity and threshold. Fire duration, size, and severity have an important role in many landscapes Mediterranean for example such that biogeochemical cycling may depend on a specific recurrence interval of fire to function."
IA0044,pressing-q,to quantify and acccurately predict the impact of fire severity and fire recurrence on biogeochemical cycling
IA0045,pressing-q," Recognizing that wild land fire is a critical part of most forested systems in western North America, and that wild land fire can take many forms i.e wildfire, prescribed fire ect, we need to know how biogeocehemical cycling changes across a gradient of fire conditions, from the absence of fire fire suppressed, low severity fire prescribed fire, and high severity wildfire.
 In my opinion, the critical link between wild land fire effects and biogeocehemical cycling resides in changes to residence time, or reaction time of water moving through fire affected catchments, which is governed by multiple water balance changes and runoff - infiltration conditions."
IA0046,pressing-q," How long does pyrogenic carbon persist in different systems conifer forest vs deciduous forest, for example following fire Bird  2017?
 Can we track who microbial organisms are utilizing the pyrogenic carbon Dove  2020, and do these organisms change over time since fire?"
IA0047,pressing-q,We need to understand how the risk of loosing ecological functions  mycorrhizal symbiosis that enable rapid development/restoration of ecosystems after fire is related to fire severity and behavior. We need to understand under which circumstances changed functionality of ecosystems after fire makes soil organic matter less or more susceptible to decomposition.
IA0048,pressing-q," How are increased fire frequency and severity each altering biogeochemical cycling?  cascading effects of climate-driven disturbances. What mechanisms allow pyrophilic fungi to thrive after fire, and how will fire-driven shifts in fungal communities influence decomposition and nutrient mineralization? "
IA0049,pressing-q,What are the strategies of bacterial communities to cope with increased inputs of pyrogenic organic matter PyOM and to what degree does PyOM alter bacterial functions.
IA0050,pressing-q,Temporal patterns of microbial functional diversity post-fire.  Temporal patterns of post-fire pyrogenic OM bioavailability
IA0051,pressing-q,"I'm really new to wildfire science, but I currently work for a data repository ESS-DIVE and focus on data management and data standardization. I wonder if there is opportunity in the review paper to discuss the data management challenges in assessing wildfire impacts. For example, if data were provided in a more consistent, standardized, interoperable way--what could this type of data enable?"
IA0052,pressing-q,How does species composition and management affect biomass and burn severity? How do changes in fire frequency affect succession and species composition?
IA0053,pressing-q,What are the consequences of wildfire on the soil function? How long do these impacts last?
IA0054,pressing-q," Given the fast growth of the US wildland-urban interface raises wildfire risk, what is the state of the current knowledge on how to best integrate data from around the US? and dissemination? How can we understand and prepare better for wildfires in the Wildland-Urban Interface and work with community leaders to implement them? Why are WUI fires becoming more frequent and more costly?"
IA0055,pressing-q,"What vegetation, microbial and catchment factors determines the length of elevated post-fire stream nutrient responses. How does the composition and treatability of DOC released from PyC vary fire severity "
IA0056,pressing-q,the spatially teleconnected and temporally legacy effects of wildfire on ecosystem biogeochemical cycles in relation with burning severity;  can we address the questions with multi-year large-scale remote sensing data?
IA0057,pressing-q,"What are the transport mechanisms of PyC at the watershed levels, and what are the consequences of these on the turnover and stocks of PyC ? How does PyC alter soil functions, from just after the fire to decades afterwards ?"
IA0058,pressing-q,To what extent do increases in wildfire frequency increase the storage of black carbon in soils and sediments?  To what extent do these increases in black carbon storage offset losses of ecosystem productivity and bulk carbon storage in vegetation and soils? + 3 How do changes in stream/river discharge influence or interact with the dynamics embodied in  and ?
IA0059,pressing-q,Modelling wind and vertical and horizontal water transport of ash and associated chemical substances to contribute in the quantification of their pathways at watershed scale.
IA0060,pressing-q," How do post-fire soil microbial communities affect biogeochemical cycling on a landscape scale, and, in a related question:  What defines the composition of post-fire soil microbial communities  fire behavior/severity, vegetation, climate, etc? ...several studies in the past few years have begun to identify bacterial and fungal taxa that survive and thrive in post-fire surface soils, but many questions remain about the role that these organisms play in post-fire ecosystems. Pioneer post-fire filamentous fungi such as Pyronema and Anthracobia grow rapidly within weeks to months after fire. The vast networks that these fungi build may help mitigate erosion, while also liberating carbon from PyOM back into the carbon cycle"
IA0061,pressing-q," We need information outside of temperate and boreal forest ecosystems California, Canada & Australia. There is a concerted need to understand basic biogeochemical processes and responses to fire natural and anthropogenic in dry tropical forests, especially in Southeast Asia. Fire scientists should work towards a unification of burn severity for all ecosystem types that can also be scaled up"
IA0062,pressing-q,"How will watershed scale carbon cycling shift with 21st century increases in disturbance? There is an increasing push to use forests as natural climate solutions, serving as a bridge to human reductions emissions. However, increasing disturbance may alter forests ability to store carbon. How will the transport of nutrients change as increasing disturbance alters watershed scale forest hydrology? Natural disturbances, such as wildfires increase river runoff at local regional scales Hallema  2018 Nature Communications. As disturbances increase over the next few decades it remains poorly understood how changes in hydrology will affect the transport and thus availability of nutrients like nitrogen."
IA0063,pressing-q,"Improved knowledge of processes that influence the source, transport and fate of pyrogenic materials on hill slopes and with special attention to their connectivity to rivers is required to more accurately model the propagation of these materials to receiving water bodies used for water supply. Our understanding of the role of cohesive sediment on nutrient cycling storage, uptake, release in streams impacted by changing flow conditions due to climate change is lacking."
IA0064,pressing-q,How does wildfire affect CO2 efflux from aquatic ecosystems? Fire regimes can play a role in soil and water CO2 efflux. How does post-fire erosion affect biogeochemical cycling? The fate and transport of pyrogenic carbon under various hydrologic regimes is important in understanding biogeochemical cycling
IA0065,pressing-q,The scalability of case studies to wildfire impacts more widely and across ecosystems to avoid unwarranted generalisations. The role of changing fire severity/behaviuour and recovery dynamics under changing climate and land use patterns
IA0066,pressing-q,What are the long-term trajectories of carbon storage in burned ecosystems? How do shifts in microbial communities following fire contribute to these trajectories?
IA0067,pressing-q,Is microbial functional diversity before fire reflective of that after fire? How much is it modified by fire? How do plants after fire mediate soil microbial communities and subsequent N cycling? How to soil microbial communities after fire mediate plant community structure and N cycling?
IA0001,research-a,"Nutrient Cycling, Pyrogenic Organic Matter, Soil Stability, Quality, Mineralogy, Pyrogenic Organic Matter Transport, Fluxes, Water Quality, Watershed Management"
IA0002,research-a,"Water Routing, Hillslope Hydrology, Surface Water – Groundwater Interactions, Hydrological Modeling"
IA0003,research-a,"Water Routing, Hillslope Hydrology, Hydrological Modeling"
IA0004,research-a,"Pyrogenic Organic Matter, Pyrogenic Organic Matter Transport, Fluxes, Pyrogenic Organic Matter Method Development, Biogeochemical Modeling, Successional Dynamics, Ecological Resilience, Ecological Modeling"
IA0005,research-a,"Pyrogenic Organic Matter, Pyrogenic Organic Matter Transport, Fluxes, Biogeochemical Modeling, Sediment Transport"
IA0006,research-a,"Nutrient Cycling, Pyrogenic Organic Matter, Microbial Community Dynamics, Functional Diversity, Successional Dynamics, Ecological Resilience, Ecological Modeling"
IA0007,research-a,"Nutrient Cycling, Water Quality, Surface Water – Groundwater Interactions"
IA0008,research-a,"Pyrogenic Organic Matter, Pyrogenic Organic Matter Transport, Fluxes, Water Quality"
IA0009,research-a,"Nutrient Cycling, Pyrogenic Organic Matter, Pyrogenic Organic Matter Transport, Fluxes, Sediment Transport"
IA0010,research-a,"Nutrient Cycling, Microbial Community Dynamics, Biogeochemical Modeling, Water Quality, Surface Water – Groundwater Interactions, Contaminant Transport, Hydrological Modeling"
IA0011,research-a,"Nutrient Cycling, Microbial Community Dynamics, Successional Dynamics, Ecological Resilience"
IA0012,research-a,"Pyrogenic Organic Matter, Pyrogenic Organic Matter Transport, Fluxes, Pyrogenic Organic Matter Method Development, Surface Water – Groundwater Interactions"
IA0013,research-a,"Nutrient Cycling, Pyrogenic Organic Matter, Water Quality, Watershed Management"
IA0014,research-a,"Nutrient Cycling, Functional Diversity, Food Web / Trophic Dynamics, Water Quality"
IA0015,research-a,Nutrient Cycling
IA0016,research-a,"Water Quality, Watershed Management, Water Routing, Hillslope Hydrology, Water Supply"
IA0017,research-a,"Pyrogenic Organic Matter, Pyrogenic Organic Matter Transport, Fluxes, Pyrogenic Organic Matter Method Development, Water Quality"
IA0018,research-a,"Pyrogenic Organic Matter, Pyrogenic Organic Matter Transport, Fluxes, Pyrogenic Organic Matter Method Development, Water Quality"
IA0019,research-a,"Pyrogenic Organic Matter, Pyrogenic Organic Matter Transport, Fluxes, Water Quality, Cryosphere impacts from deposition of pyrogenic organic matter."
IA0020,research-a,"Nutrient Cycling, Pyrogenic Organic Matter, Water Quality, Water Supply"
IA0021,research-a,"Nutrient Cycling, Microbial Community Dynamics, Biogeochemical Modeling"
IA0022,research-a,"Water Quality, Watershed Management, Societal Costs, Policy, Water Supply, Surface Water – Groundwater Interactions, drinking water treatability"
IA0023,research-a,"Nutrient Cycling, Water Quality, Watershed Management, Sediment Transport"
IA0024,research-a,"Ecological Modeling, Watershed Management, Water Routing, Hillslope Hydrology, Water Supply, Surface Water – Groundwater Interactions, Hydrological Modeling"
IA0025,research-a,"Water Quality, Water Routing, Hillslope Hydrology, Sediment Transport"
IA0026,research-a,"Nutrient Cycling, Pyrogenic Organic Matter, Soil Stability, Quality, Mineralogy, Microbial Community Dynamics, Water Quality, Air Quality, Health, Trace and greenhouse gas emissions"
