pressing_q,pathway_q,roadblock_q,Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
T,F,F,DU995LZH,journalArticle,2020,"Bruns, Thomas D.; Chung, Judy A.; Carver, Akiko A.; Glassman, Sydney I.","A simple pyrocosm for studying soil microbial response to fire reveals a rapid, massive response by Pyronema species",PLOS ONE,,1932-6203,10.1371/journal.pone.0222691,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0222691,"We have designed a pyrocosm to enable fine-scale dissection of post-fire soil microbial communities. Using it we show that the peak soil temperature achieved at a given depth occurs hours after the fire is out, lingers near this peak for a significant time, and is accurately predicted by soil depth and the mass of charcoal burned. Flash fuels that produce no large coals were found to have a negligible soil heating effect. Coupling this system with Illumina MiSeq sequencing of the control and post-fire soil we show that we can stimulate a rapid, massive response by Pyronema, a well-known genus of pyrophilous fungus, within two weeks of a test fire. This specific stimulation occurs in a background of many other fungal taxa that do not change noticeably with the fire, although there is an overall reduction in richness and evenness. We introduce a thermo-chemical gradient model to summarize the way that heat, soil depth and altered soil chemistry interact to create a predictable, depth-structured habitat for microbes in post-fire soils. Coupling this model with the temperature relationships found in the pyrocosms, we predict that the width of a survivable “goldilocks zone”, which achieves temperatures that select for postfire-adapted microbes, will stay relatively constant across a range of fuel loads. In addition we predict that a larger necromass zone, containing labile carbon and nutrients from recently heat-killed organisms, will increase in size rapidly with addition of fuel and then remain nearly constant in size over a broad range of fuel loads. The simplicity of this experimental system, coupled with the availability of a set of sequenced, assembled and annotated genomes of pyrophilous fungi, offers a powerful tool for dissecting the ecology of post-fire microbial communities.",3/4/20,4/12/23 21:19,4/12/23 21:19,4/12/23 21:19,e0222691,,3,15,,PLOS ONE,,,,,,,,en,,,,,PLoS Journals,,Publisher: Public Library of Science,,C:\Users\guer310\Zotero\storage\DF7IJHQM\Bruns et al. - 2020 - A simple pyrocosm for studying soil microbial resp.pdf,,,Fire suppression technology; Fuels; Fungal genomics; Fungi; Soil chemistry; Thermocouples; Wildfires; Yeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T,F,F,SCS3FY3M,journalArticle,2018,"Burd, Katheryn; Tank, Suzanne E.; Dion, Nicole; Quinton, William L.; Spence, Christopher; Tanentzap, Andrew J.; Olefeldt, David","Seasonal shifts in export of DOC and nutrients from burned and unburned peatland-rich catchments, Northwest Territories, Canada",Hydrology and Earth System Sciences,,1027-5606,10.5194/hess-22-4455-2018,https://hess.copernicus.org/articles/22/4455/2018/,"Boreal peatlands are major catchment sources of dissolved organic carbon (DOC) and nutrients and thus strongly regulate the landscape carbon balance, aquatic food webs, and downstream water quality. Climate change is likely to influence catchment solute yield directly through climatic controls on run-off generation, but also indirectly through altered disturbance regimes. In this study we monitored water chemistry from early spring until fall at the outlets of a 321&thinsp;km2 catchment that burned 3 years prior to the study and a 134&thinsp;km2 undisturbed catchment. Both catchments were located in the discontinuous permafrost zone of boreal western Canada and had ∼ &thinsp;60&thinsp;% peatland cover. The two catchments had strong similarities in the timing of DOC and nutrient yields, but a few differences were consistent with anticipated effects of wildfire based on peatland porewater analysis. The 4-week spring period, particularly the rising limb of the spring freshet, was crucial for accurate characterization of the seasonal solute yield from both catchments. The spring period was responsible for ∼ &thinsp;65&thinsp;% of the seasonal DOC and nitrogen and for ∼ &thinsp;85&thinsp;% of the phosphorous yield. The rising limb of the spring freshet was associated with high phosphorous concentrations and DOC of distinctly high aromaticity and molecular weight. Shifts in stream DOC concentrations and aromaticity outside the early spring period were consistent with shifts in relative streamflow contribution from precipitation-like water in the spring to mineral soil groundwater in the summer, with consistent relative contributions from organic soil porewater. Radiocarbon content (14C) of DOC at the outlets was modern throughout May to September (fraction modern carbon, fM: 0.99–1.05) but likely reflected a mix of aged DOC, e.g. porewater DOC from permafrost (fM: 0.65–0.85) and non-permafrost peatlands (fM: 0.95–1.00), with modern bomb-influenced DOC, e.g. DOC leached from forest litter (fM: 1.05–1.10). The burned catchment had significantly increased total phosphorous (TP) yield and also had greater DOC yield during summer which was characterized by a greater contribution from aged DOC. Overall, however, our results suggest that DOC composition and yield from peatland-rich catchments in the discontinuous permafrost region likely is more sensitive to climate change through impacts on run-off generation rather than through altered fire regimes.",8/22/18,4/12/23 21:06,4/12/23 21:06,4/12/23 21:06,4455-4472,,8,22,,,,,,,,,,English,,,,,Copernicus Online Journals,,Publisher: Copernicus GmbH,,C:\Users\guer310\Zotero\storage\BZ9I4XSC\Burd et al. - 2018 - Seasonal shifts in export of DOC and nutrients fro.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T,F,F,IKBHW8NZ,journalArticle,2009,"Campbell, John L.; Rustad, Lindsey E.; Boyer, Elizabeth W.; Christopher, Sheila F.; Driscoll, Charles T.; Fernandez, Ivan J.; Groffman, Peter M.; Houle, Daniel; Kiekbusch, Jana; Magill, Alison H.; Mitchell, Myron J.; Ollinger, Scott V.",Consequences of climate change for biogeochemical cycling in forests of northeastern North America,Canadian Journal of Forest Research. 39: 264-284.,,,10.1139/X08-104,https://www.fs.usda.gov/research/treesearch/43585,,2009,4/14/23 5:04,4/14/23 5:04,4/14/23 5:04,264-284,,,39,,,,,,,,,,en,,,,,www.fs.usda.gov,,,,C:\Users\guer310\Zotero\storage\U25AGWHP\Campbell et al. - 2009 - Consequences of climate change for biogeochemical .pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,T,F,7IUVPVQL,journalArticle,2010,"Cannon, S. H.; Gartner, J. E.; Rupert, M. G.; Michael, J. A.; Rea, A. H.; Parrett, C.",Predicting the probability and volume of postwildfire debris flows in the intermountain western United States,Geological Society of America Bulletin,,"0016-7606, 1943-2674",10.1130/B26459.1,https://pubs.geoscienceworld.org/gsabulletin/article/122/1-2/127-144/125472,"Empirical models to estimate the probability of occurrence and volume of postwildﬁre debris ﬂows can be quickly implemented in a geographic information system (GIS) to generate debris-ﬂow hazard maps either before or immediately following wildﬁres. Models that can be used to calculate the probability of debris-ﬂow production from individual drainage basins in response to a given storm were developed using logistic regression analyses of a database from 388 basins located in 15 burned areas located throughout the U.S. Intermountain West. The models describe debris-ﬂow probability as a function of readily obtained measures of areal burned extent, soil properties, basin morphology, and rainfall from short-duration and lowrecurrence-interval convective rainstorms. A model for estimating the volume of material that may issue from a basin mouth in response to a given storm was developed using multiple linear regression analysis of a database from 56 basins burned by eight ﬁres. This model describes debris-ﬂow volume as a function of the basin gradient, aerial burned extent, and storm rainfall. Applications of a probability model and the volume model for hazard assessments are illustrated using information from the 2003 Hot Creek ﬁre in central Idaho. The predictive strength of the approach in this setting is evaluated using information on the response of this ﬁre to a localized thunderstorm in August 2003. The mapping approach presented here identiﬁes those basins that are most prone to the largest debris-ﬂow events and thus provides information necessary to prioritize areas for postﬁre erosion mitigation, warnings, and preﬁre management efforts throughout the Intermountain West.",1/1/10,4/14/23 5:08,4/14/23 5:08,4/14/23 5:08,127-144,,2-Jan,122,,Geological Society of America Bulletin,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\guer310\Zotero\storage\KIJ9F3QC\Cannon et al. - 2010 - Predicting the probability and volume of postwildf.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T,F,F,RZEK342J,journalArticle,2007,"Carroll, Erin M.; Miller, Wally W.; Johnson, Dale W.; Saito, Laurel; Qualls, Robert G.; Walker, Roger F.",Spatial Analysis of a Large Magnitude Erosion Event Following a Sierran Wildfire,Journal of Environmental Quality,,1537-2537,10.2134/jeq2006.0466,https://onlinelibrary.wiley.com/doi/abs/10.2134/jeq2006.0466,"High intensity wildfire due to long-term fire suppression and heavy fuels buildup can render watersheds highly susceptible to wind and water erosion. The 2002 “Gondola” wildfire, located just southeast of Lake Tahoe, NV-CA, was followed 2 wk later by a severe hail and rainfall event that deposited 7.6 to 15.2 mm of precipitation over a 3 to 5 h time period. This resulted in a substantive upland ash and sediment flow with subsequent down-gradient riparian zone deposition. Point measurements and ESRI ArcView were applied to spatially assess source area contributions and the extent of ash and sediment flow deposition in the riparian zone. A deposition mass of 380 Mg of ash and sediment over 0.82 ha and pre-wildfire surface bulk density measurements were used in conjunction with two source area assessments to generate an estimation of 10.1 mm as the average depth of surface material eroded from the upland source area. Compared to previous measurements of erosion during rainfall simulation studies, the erosion of 1800 to 6700 g m−2 mm−1 determined from this study was as much as four orders of magnitude larger. Wildfire, followed by the single event documented in this investigation, enhanced soil water repellency and contributed 17 to 67% of the reported 15 to 60 mm ky−1 of non-glacial, baseline erosion rates occurring in mountainous, granitic terrain sites in the Sierra Nevada. High fuel loads now common to the Lake Tahoe Basin increase the risk that similar erosion events will become more commonplace, potentially contributing to the accelerated degradation of Lake Tahoe's water clarity.",2007,4/14/23 5:08,4/14/23 5:08,4/14/23 5:08,1105-1111,,4,36,,,,,,,,,,en,,,,,Wiley Online Library,,_eprint: https://acsess.onlinelibrary.wiley.com/doi/pdf/10.2134/jeq2006.0466,,C:\Users\guer310\Zotero\storage\293R3XZA\Carroll et al. - 2007 - Spatial Analysis of a Large Magnitude Erosion Even.pdf; C:\Users\guer310\Zotero\storage\2CHPEJPC\jeq2006.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,T,F,LM25G3MB,journalArticle,2020,"Chen, Xingyuan; Lee, Raymond M.; Dwivedi, Dipankar; Son, Kyongho; Fang, Yilin; Zhang, Xuesong; Graham, Emily B.; Stegen, James C.; Fisher, Joshua B.; Moulton, John D.; Scheibe, Timothy D.",Integrating field observations and process-based modeling to predict watershed water quality under environmental perturbations,Journal of Hydrology,,0022-1694,10.1016/j.jhydrol.2020.125762,https://www.osti.gov/pages/biblio/1842780,"Watersheds play a critical role in supplying water resources needed for human use and ecosystem health. Understanding and predicting how, when, and where changes in the quantity and quality of water resources occur under different environmental stresses including extreme events is crucial for sustainable management of water resources under a changing environment. However, few studies have attempted to quantify or identify the factors and process interactions controlling the impact of extreme events across water-shed systems. Only few large-scale studies include coordinated monitoring and modeling efforts, which limits our ability to assess the large-scale impact of extreme events on water supply and quality. Methods are lacking to propagate uncertainty in process understanding through an integrated hydro-biogeochemical model framework and evaluate its importance, thus failing to take full advantage of the information potentially available through transformative advances in characterization technologies from high-resolution mass spectrometry to airborne and satellite-based remote sensing. There are consequent risks to our nations water security and to human and ecosystem health that may become exacerbated with the increasing frequency of extreme events that is projected for the coming decades. This paper reviews the current status of watershed science for both water quantity and quality and identifies critical gaps in our current knowledge and modeling capability in addressing the emergent needs in predicting watershed hydrologic and biogeochemical responses (i.e., water quantity and quality) under natural and anthropogenic perturbations. We highlight the need to (1) understand how environmental perturbations including extreme events like floods and droughts propagate through watershed systems and assess their short- and long-term impacts on watershed biogeochemistry, water quality and their recovery pathways; (2) develop and improve a watershed water quality model that reflects the state of scientific understanding gained from observations; and (3) construct a data-model fusion system for watershed characterization, process identification, and mechanistic model parameterization. A large base of modeling, monitoring and data capabilities have been built by various federal government agencies given the relevance of water to their critical missions. An emerging need is to build an integrated national capability for watershed water availability and quality that can address water-related missions across multiple federal agencies.",11/15/20,4/14/23 5:09,4/14/23 5:09,4/14/23 5:09,,,,602,,,,,,,,,,English,,,,,www.osti.gov,,"Institution: Pacific Northwest National Lab. (PNNL), Richland, WA (United States); Lawrence Berkeley National Lab. (LBNL), Berkeley, CA (United States); Los Alamos National Lab. (LANL), Los Alamos, NM (United States) Number: PNNL-SA-148272 Publisher: Elsevier",,C:\Users\guer310\Zotero\storage\I6XGS7TS\Chen et al. - 2020 - Integrating field observations and process-based m.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T,T,F,FYCXWJP8,conferencePaper,2013,"Chief, Karletta; Daigle, John; Lynn, Kathy; Whyte, Kyle",Indigenous Experiences in the U.S. with Climate Change and Environmental Stewardship in the Anthropocene.,,,,,,"The recognition of climate change issues facing tribal communities and indigenous peoples in the United States is growing, and understanding its impacts is rooted in indigenous ethical perspectives and systems of ecological knowledge. This foundation presents a context and guide for con-temporary indigenous approaches to address climate change impacts that are comprehensive and holistic. Tribal communities and indigenous peoples across the United States are re-envisioning the role of science in the Anthropocene; working to strengthen government-to-government relationships in climate change initiatives; and leading climate change research, mitigation and adaptation plans through indigenous ingenuity. Unique adaptive capacities of tribal communities stem from their ethics and knowledge, and help frame and guide successful adaptation. As documented in the Special Issue of the Climatic Change Journal on the impacts of climate change to U.S. indigenous communities (Maldonado and others 2013), these issues include the loss of traditional knowledge; impacts to forests, ecosystems, traditional foods, and water; thawing of Arctic sea ice and permafrost; and relocation of communities. This collaboration, by more than 50 authors from tribal communities, academia, government agencies, and NGOs, demonstrates the increasing awareness, interest, and need to understand the unique ways in which climate change will affect tribal cultures, lands, and traditional ways of life. Climate change is expected to affect animal and plant species that indigenous people depend on for their livelihoods, health and cultural practices. The impacts of climate change on forests and other ecosystems that are home to many of these species require tribal engagement in climate change research, assessments, and adaptation efforts. This paper synthesizes key is-sues and case studies related to climate change impacts on tribally valued forest resources and tribal adaptive responses to climate change.",9/24/13,4/13/23 20:28,4/13/23 20:28,,,,,,,,,,,,,,,,,,,,ResearchGate,,,,C:\Users\guer310\Zotero\storage\8FQ8SX99\Chief et al. - 2013 - Indigenous Experiences in the U.S. with Climate Ch.pdf; ,https://www.researchgate.net/publication/266665424_Indigenous_Experiences_in_the_US_with_Climate_Change_and_Environmental_Stewardship_in_the_Anthropocene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T,F,F,JVJYFSQN,journalArticle,2019,"Chow, Alex T.; Tsai, Kuo-Pei; Fegel, Timothy S.; Pierson, Derek N.; Rhoades, Charles C.",Lasting Effects of Wildfire on Disinfection By-Product Formation in Forest Catchments,Journal of Environmental Quality,,1537-2537,10.2134/jeq2019.04.0172,https://onlinelibrary.wiley.com/doi/abs/10.2134/jeq2019.04.0172,"Severe wildfires often have dramatic short-term effects on water quality, although there is increasing evidence that in some catchments their effects can persist for many years. Forest recovery after the 2002 Hayman Fire burned catchments that supply drinking water to over a half million users in Denver, CO, has been extremely slow and has caused persistent water quality concerns. To evaluate whether postfire water quality changes increase the potential to form undesirable by-products of water disinfection, we compared stream water from eight burned catchments within the Hayman Fire and five adjacent unburned catchments. We tested dissolved organic carbon (DOC) concentrations and the formation of disinfection by-products (trihalomethanes [THMs], haloacetonitriles [HANs], chloral hydrate [CHD, and haloketones [HKTs]) in stream water monthly during 2014 and 2015. Stream DOC, THMs, and CHD and specific ultraviolet absorbance at 254 nm (SUVA254) were elevated in catchments with a moderate extent of high-severity wildfire (8–46% of catchment area) relative to catchments that were unburned and those that burned more extensively (>74% of catchment area) 14 yr after the fire. In contrast, formation of highly toxic but unregulated nitrogenous HANs increased linearly with wildfire extent. Although these findings should not raise concern regarding drinking water safety, they highlight the long-term influences of high severity wildfire on source water C content, composition, and treatability. Core Ideas Wildfire impacts on source water quality could last over a decade. Formation of highly toxic nitrogenous DBP precursors increased linearly with wildfire extent. DBP formation was highest in streams draining moderately burned catchments.",2019,4/14/23 5:10,4/14/23 5:10,4/14/23 5:10,1826-1834,,6,48,,,,,,,,,,en,,,,,Wiley Online Library,,_eprint: https://acsess.onlinelibrary.wiley.com/doi/pdf/10.2134/jeq2019.04.0172,,C:\Users\guer310\Zotero\storage\PTU8Y54B\Chow et al. - 2019 - Lasting Effects of Wildfire on Disinfection By-Pro.pdf; C:\Users\guer310\Zotero\storage\UQRKXMP4\jeq2019.04.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,T,F,LSSIZ2ZY,journalArticle,2013,"Clemmensen, Karina; Bahr, Adam; Ovaskainen, O; Dahlberg, Anders; Ekblad, Alf; Wallander, Håkan; Stenlid, Jan; Finlay, Roger; Wardle, David; Lindahl, Björn",Roots and Associated Fungi Drive Long-Term Carbon Sequestration in Boreal Forest,"Science (New York, N.Y.)",,,10.1126/science.1231923,,"Boreal forest soils function as a terrestrial net sink in the global carbon cycle. The prevailing dogma has focused on aboveground plant litter as a principal source of soil organic matter. Using 14C bomb-carbon modeling, we show that 50 to 70% of stored carbon in a chronosequence of boreal forested islands derives from roots and root-associated microorganisms. Fungal biomarkers indicate impaired degradation and preservation of fungal residues in late successional forests. Furthermore, 454 pyrosequencing of molecular barcodes, in conjunction with stable isotope analyses, highlights root-associated fungi as important regulators of ecosystem carbon dynamics. Our results suggest an alternative mechanism for the accumulation of organic matter in boreal forests during succession in the long-term absence of disturbance.",3/29/13,4/14/23 5:14,4/14/23 5:14,,1615-8,,,339,,"Science (New York, N.Y.)",,,,,,,,,,,,,ResearchGate,,,,C:\Users\guer310\Zotero\storage\GSWHUMID\Clemmensen et al. - 2013 - Roots and Associated Fungi Drive Long-Term Carbon .pdf; ,https://www.researchgate.net/publication/236091025_Roots_and_Associated_Fungi_Drive_Long-Term_Carbon_Sequestration_in_Boreal_Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Should be Cochrane et al. 2009 Tropical peatland fires in Southeast Asia. Tropical fire ecology: climate change, land use, and ecosystem dynamics paper here ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,T,F,6PP84PJ6,journalArticle,2016,"Cotrufo, M. Francesca; Boot, Claudia; Abiven, Samuel; Foster, Erika J.; Haddix, Michelle; Reisser, Moritz; Wurster, Christopher M.; Bird, Michael I.; Schmidt, Michael W. I.",Quantification of pyrogenic carbon in the environment: An integration of analytical approaches,Organic Geochemistry,,0146-6380,10.1016/j.orggeochem.2016.07.007,https://www.sciencedirect.com/science/article/pii/S0146638016301073,"Pyrogenic carbon (PyC), the product of incomplete combustion of biomass during fire, is now recognized as a significant component of the global carbon cycle. However, quantitative determination of PyC is challenging, in particular at a large scale. We conducted a comparison of three methods for PyC analysis: benzene polycarboxylic acid (BPCA) method, hydrogen pyrolysis (hypy) and mid infrared spectroscopy (MIR) to identify a suitable approach for the determination of PyC at large geographical scales and across different environmental matrices. We analyzed samples (n=165) derived from a variety of matrices (i.e. forest floor, soils, sediments and char), most of which were collected in the natural environment after fire. BPCA and hypy PyC estimates correlated linearly (R2 between 0.74 and 0.92), thus suggesting that they can be merged in larger scale PyC syntheses. However, the slope of the regression varied among different matrices, ranging between 0.1 and 0.44, likely due to differences in the degree of aromatic condensation. MIR coupled with partial least-squares regression (MIR-PLSR) was demonstrated to be a powerful tool for estimating PyC across a variety of environmental matrices, with high throughput and low analytical cost in comparison with the other two PyC analytical methods. Furthermore, we obtained accurate calibrations for MIR-PLSR from the hypy and the BPCA method, the latter in particular for soil samples. We thus conclude that PyC estimates at large geographical scales and across different environmental matrices can be obtained from MIR-PLSR, previous calibration with hypy or BPCA, for matrices for which the PyC yields are known.",10/1/16,4/14/23 5:18,4/14/23 5:18,4/14/23 5:18,42-50,,,100,,Organic Geochemistry,Quantification of pyrogenic carbon in the environment,,,,,,,en,,,,,ScienceDirect,,,,C:\Users\guer310\Zotero\storage\ZWE7UIAB\Cotrufo et al. - 2016 - Quantification of pyrogenic carbon in the environm.pdf; C:\Users\guer310\Zotero\storage\KAIZL3GW\S0146638016301073.html,,,Benzene Polycarboxylic Acids; Black carbon; Fire; Hydrogen pyrolysis; Mid Infrared Spectroscopy; Pyrogenic carbon; Sediments; Soils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,F,T,54FJTMYH,journalArticle,2020,"Crystal-Ornelas, Robert; Link to external site, this link will open in a new window; Lockwood, Julie L.",The ‘known unknowns’ of invasive species impact measurement,Biological Invasions,,1387-3547,10.1007/s10530-020-02200-0,https://www.proquest.com/docview/2376897044/abstract/528C31FCD2C742B0PQ/1,"There are thousands of case studies documenting invasive species’ impacts and these have led to the development of over 30 hypotheses that describe how invasions occur and their impacts manifest. The proliferation of invasion hypotheses over the decades has spurred several efforts to identify conceptual overlap and increase clarity of impact mechanism in the field. What is still lacking, however, is a comprehensive accounting of the evidence base on invasive species impacts, especially in regard to the biological scales, temporal scales, and taxonomic groups that receive research. Identifying the ‘known unknowns’ of empirical invasion impact research serves a critical function in the effort to evaluate support for existing hypotheses and generate novel hypotheses. We built a taxonomically and geographically comprehensive database of over 1500 research articles that report measures of invasive species’ ecological impacts published over the past 18 years (1999–2016). We found that, field-wide, published measures of invasive species’ impacts are highly skewed toward those measured at the population or community-level with scarce information on impacts at other biological scales (e.g., physiology, behavior). We also show that existing impact evidence stems most often from one-off studies of single invasive species. Yet, even for species that receive consistent attention, impacts have rarely been documented across more than one biological scale, beyond very short time periods, or in several ecosystems. In order to predict and anticipate how impacts manifest in a variety of temporal and biological contexts, the evidence base informing existing invasion hypotheses must become more integrative both within and across publications.",2020-04,4/14/23 5:19,4/14/23 5:19,4/14/23 5:19,1513-1525,,4,22,,,,,,,,,,English,"Biological Invasions is a copyright of Springer, (2020). All Rights Reserved.",,,,ProQuest,,"Num Pages: 1513-1525 Place: Dordrecht, Netherlands Publisher: Springer Nature B.V.",,C:\Users\guer310\Zotero\storage\N8BIF4J4\Crystal-Ornelas et al. - 2020 - The ‘known unknowns’ of invasive species impact me.pdf,,,Systematic review; Ecological impacts; Invasion ecology; Invasive species impacts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,F,T,74KHWES2,journalArticle,2008,"De la Rosa, J. M.; González-Pérez, J. A.; González-Vázquez, R.; Knicker, H.; López-Capel, E.; Manning, D. A. C.; González-Vila, F. J.",Use of pyrolysis/GC–MS combined with thermal analysis to monitor C and N changes in soil organic matter from a Mediterranean fire affected forest,CATENA,,0341-8162,10.1016/j.catena.2008.03.004,https://www.sciencedirect.com/science/article/pii/S0341816208000246,"In Mediterranean ecosystems, forest fires are a common phenomenon. They involve the transformation of vegetation and litter, leaving charred residues and so influencing the carbon cycle by changing (a) the amounts of soil organic matter and (b) the proportions within it of pools with differing stability. In addition to affecting C cycles, fires also affect the amounts of N within soil organic matter, and its availability. Because of the difficulties associated with solvent-based methods for the investigation of char and other highly stable carbon forms within soil, physical methods based on pyrolysis have several advantages. We have used thermal analysis coupled with on-line analysis of evolved gas species to determine the proportions of soil organic matter of differing stability and the pattern of evolution of gaseous nitrogen-bearing species during heating. Burnt soil clearly has a lower content of labile organic matter than unburnt soil, and nitrogen is closely associated with more stable forms of soil organic matter. Using the decomposition temperatures observed from TG, triple shot pyrolysis–GC/MS shows clear differences between the molecular composition of burnt and unburnt samples. At 340 °C, the unburnt soil has a diverse content of polysaccharide-derived and aliphatic compounds, while the burnt soil yields only two furan compounds. At 520 °C, alkyl and aromatic compounds are observed, including PAHs from the burnt soil. The 600 °C shot is dominated by aromatic compounds, with no differences between burnt and unburnt samples. Taken together, the results of elemental analysis, TG–DSC–QMS and pyrolysis–GC/MS are a very helpful tools in the deciphering of changes in the soil organic matter properties, specifically the main changes observed are (a) to increase the proportion of thermally-stable components, and (b) to increase the proportion of nitrogen relative to C through the development of thermally stable heterocyclic N.",8/15/08,4/14/23 5:20,4/14/23 5:20,4/14/23 5:20,296-303,,3,74,,CATENA,,Fire Effects on Soil Properties,,,,,,en,,,,,ScienceDirect,,,,C:\Users\guer310\Zotero\storage\M2ZP9KSF\De la Rosa et al. - 2008 - Use of pyrolysisGC–MS combined with thermal analy.pdf; C:\Users\guer310\Zotero\storage\KH2D2YXN\S0341816208000246.html,,,Black carbon; Nitrogen; Forest fire; Mediterranean ecosystem; Refractory organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T,F,F,D26ILWPB,book,1998,"DeBano, Leonard F.; Neary, Daniel G.; Ffolliott, Peter F.",Fire Effects on Ecosystems,,978-0-471-16356-5,,,,"A comprehensive exploration of the effects of fires--in forests and other environments--on soils, watersheds, vegetation, air and cultural resources.",3/9/98,4/12/23 20:43,4/12/23 20:43,,,356,,,,,,,,,,John Wiley & Sons,,en,,,,,Google Books,,Google-Books-ID: cFxtriC2EDkC,,,https://books.google.com/books?id=cFxtriC2EDkC,,Science / Environmental Science; Science / Life Sciences / Horticulture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T,F,F,6HIMZDE8,journalArticle,2018,"Doerr, Stefan H.; Santín, Cristina; Merino, Agustín; Belcher, Claire M.; Baxter, Greg",Fire as a Removal Mechanism of Pyrogenic Carbon From the Environment: Effects of Fire and Pyrogenic Carbon Characteristics,Frontiers in Earth Science,,2296-6463,,https://www.frontiersin.org/articles/10.3389/feart.2018.00127,"Pyrogenic carbon (PyC, charcoal) is produced during vegetation fires at a rate of ~116–385 Tg C yr−1 globally. It represents one of the most degradation-resistant organic carbon pools, but its long-term fate and the processes leading to its degradation remain subject of debate. A frequently highlighted potential loss mechanism of PyC is its consumption in subsequent fires. However, only three studies to date have tested this hypothesis with reported losses of <8–37%, with the effects of PyC chemical characteristics and fire conditions on PyC loss in wildfires remaining unexplored. To address this, we placed materials with different degrees of thermal and chemical recalcitrance (A: wildfire charcoal, B: slash-pile charcoal, C: pine wood and D: cedar wood) on the ground surface just prior to a high-intensity and a low-intensity boreal forest wildfire. Mass losses were highly variable and dependent on fire- and sample characteristics. Mass losses across both fires (as % of dry weight) were for A: 66.5 ± 25.2, B: 41.7 ± 27.2, C: 78.2 ± 14.9, and D: 83.8 ± 18.9. Mass loss correlated significantly with maximum temperature (Tmax) recorded on sample surfaces (r = 0.65, p = 0.01), but only weakly (r = 0.33) with time >300°C. Mass losses also showed a significant negative correlation (r = −0.38, p = 0.05) with thermal recalcitrance (T50) determined using Differential Scanning Calorimetry (DSC) and Tmax with charcoal reflectance (Ro) determined after the fires (r = 0.46, p = 0.05). Losses in the high-intensity fire were significantly higher (p = 0.05) than in the low-intensity fire, but the latter had a higher rate of conversion of fuel to PyC. Our results demonstrate that exposure to fire can indeed be a significant removal mechanism for PyC that remains exposed on the ground after a previous fire. The losses found, however, are likely to represent an extreme upper range as most PyC produced in a fire would not remain exposed on the ground surface by the time the next fire occurs. Our data also demonstrate, for real wildfire conditions, the (i) contrasting resistance of different PyC types to combustion and (ii) contrasting net PyC losses between different fire intensities. The DSC and reflectance (Ro) results support the usefulness of these analyses in reflecting thermal degradation resistance and temperature exposure under actual wildfire conditions.",2018,4/12/23 21:43,4/12/23 21:43,4/12/23 21:43,,,,6,,,Fire as a Removal Mechanism of Pyrogenic Carbon From the Environment,,,,,,,,,,,,Frontiers,,,,C:\Users\guer310\Zotero\storage\IPGT5SHC\Doerr et al. - 2018 - Fire as a Removal Mechanism of Pyrogenic Carbon Fr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
